missing_col,col2,col3,outliers_col,outliers_col2,categorical_col,binary_col,ordinal_col,text_col
40,80,1.613109878,5,0.271875381,elephant,1,very good,"The door opened on to a tube-shaped hall like a tunnel: a very comfortable tunnel without smoke, with paneled walls, and floors tiled and carpeted, provided with polished chairs, and lots and lots of pegs for hats and coats – the hobbit was fond of visitors."
35,51,0.74887303,25,3.976462429,dog,0,normal,"The tunnel wound on and on, going fairly but not quite straight into the side of the hill – The Hill, as all the people for many miles round called it – and many little round doors opened out of it, first on one side and then on another."
91,89,2.847401583,-75,0.739657389,dog,1,normal,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
26,32,1.181474148,0,0.279227163,cat,0,good,"He may have lost the neighbours’ respect, but he gained – well, you will see whether he gained anything in the end."
9,92,1.058229852,99,0.08086099,mouse,0,good,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
0,75,0.197807481,-52,0.344711145,elephant,0,very good,"The tunnel wound on and on, going fairly but not quite straight into the side of the hill – The Hill, as all the people for many miles round called it – and many little round doors opened out of it, first on one side and then on another."
92,6,0.216392243,-9,1.534188645,dog,0,very bad,"No going upstairs for the hobbit: bedrooms, bathrooms, cellars, pantries (lots of these), wardrobes (he had whole rooms devoted to clothes), kitchens, dining-rooms, all were on the same floor, and indeed on the same passage."
,34,2.963688669,82,0.505177153,dog,1,very good,"This hobbit was a very well-to-do hobbit, and his name was Baggins."
,7,0.579242879,21,1.121855205,dog,0,bad,"The best rooms were all on the left-hand side (going in), for these were the only ones to have windows, deep-set round windows looking over his garden, and meadows beyond, sloping down to the river."
23,42,0.548476856,-26,0.337270326,elephant,0,normal,"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat; it was a hobbit-hole, and that means comfort."
85,35,0.684863633,2,0.605415717,dog,1,good,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
36,7,0.950867499,84,2.073724288,mouse,0,normal,"The Bagginses had lived in the neighbourhood of The Hill for time out of mind, and people considered them very respectable, not only because most of them were rich, but also because they never had any adventures or did anything unexpected: you could tell what a Baggins would say on any question without the bother of asking him."
56,75,0.388299787,21,8.088068044,elephant,1,very bad,"
In a hole in the ground there lived a hobbit."
16,90,3.196609716,9,2.274846443,mouse,0,good,"The best rooms were all on the left-hand side (going in), for these were the only ones to have windows, deep-set round windows looking over his garden, and meadows beyond, sloping down to the river."
23,85,1.322570708,80,0.031914971,elephant,0,good,"No going upstairs for the hobbit: bedrooms, bathrooms, cellars, pantries (lots of these), wardrobes (he had whole rooms devoted to clothes), kitchens, dining-rooms, all were on the same floor, and indeed on the same passage."
2,71,1.37970892,-12,1.045381642,elephant,0,very bad,"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat; it was a hobbit-hole, and that means comfort."
84,68,0.923528003,-79,0.197785286,elephant,1,good,"He may have lost the neighbours’ respect, but he gained – well, you will see whether he gained anything in the end."
22,78,1.372170285,34,0.752763985,dog,1,good,"The best rooms were all on the left-hand side (going in), for these were the only ones to have windows, deep-set round windows looking over his garden, and meadows beyond, sloping down to the river."
74,44,1.957372954,21,2.595963697,cat,0,very bad,"
In a hole in the ground there lived a hobbit."
7,90,1.771585051,-94,0.413654276,dog,0,very bad,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
86,29,0.319225406,-22,0.539788583,mouse,1,very good,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
7,52,0.653606826,49,1.5371674,dog,0,very bad,"The best rooms were all on the left-hand side (going in), for these were the only ones to have windows, deep-set round windows looking over his garden, and meadows beyond, sloping down to the river."
76,56,0.952012164,-46,0.372042603,dog,1,good,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
43,40,0.535446481,39,0.470882125,elephant,0,normal,"The door opened on to a tube-shaped hall like a tunnel: a very comfortable tunnel without smoke, with paneled walls, and floors tiled and carpeted, provided with polished chairs, and lots and lots of pegs for hats and coats – the hobbit was fond of visitors."
42,72,0.781676782,-47,1.000211786,dog,0,normal,"The tunnel wound on and on, going fairly but not quite straight into the side of the hill – The Hill, as all the people for many miles round called it – and many little round doors opened out of it, first on one side and then on another."
95,70,3.623746688,-70,1.304836461,elephant,0,normal,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
99,6,0.894070595,-48,2.139921578,cat,1,very good,"The door opened on to a tube-shaped hall like a tunnel: a very comfortable tunnel without smoke, with paneled walls, and floors tiled and carpeted, provided with polished chairs, and lots and lots of pegs for hats and coats – the hobbit was fond of visitors."
,98,1.297460541,6,1.621699849,cat,0,good,"
In a hole in the ground there lived a hobbit."
,66,1.536449669,51,0.583494372,dog,1,good,"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat; it was a hobbit-hole, and that means comfort."
,64,0.324849011,2,908.002668,mouse,1,very good,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
67,12,0.347575305,82,1.140047614,elephant,1,bad,"The Bagginses had lived in the neighbourhood of The Hill for time out of mind, and people considered them very respectable, not only because most of them were rich, but also because they never had any adventures or did anything unexpected: you could tell what a Baggins would say on any question without the bother of asking him."
44,31,8.73188674,-88,0.160847512,dog,0,very bad,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
82,84,1.837627223,70,0.637690709,cat,0,very bad,"No going upstairs for the hobbit: bedrooms, bathrooms, cellars, pantries (lots of these), wardrobes (he had whole rooms devoted to clothes), kitchens, dining-rooms, all were on the same floor, and indeed on the same passage."
7,1,0.621683338,94,0.619714821,elephant,1,normal,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
32,0,0.524781531,-55,0.577749165,mouse,0,bad,"He may have lost the neighbours’ respect, but he gained – well, you will see whether he gained anything in the end."
90,18,1.979324981,74,0.42960907,cat,0,very bad,"He may have lost the neighbours’ respect, but he gained – well, you will see whether he gained anything in the end."
24,41,0.816417091,32,3.470766024,cat,1,bad,"No going upstairs for the hobbit: bedrooms, bathrooms, cellars, pantries (lots of these), wardrobes (he had whole rooms devoted to clothes), kitchens, dining-rooms, all were on the same floor, and indeed on the same passage."
48,84,1.492973814,-44,0.897525926,dog,0,very bad,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
83,59,2.040675453,45,4.207982684,elephant,0,very good,"The Bagginses had lived in the neighbourhood of The Hill for time out of mind, and people considered them very respectable, not only because most of them were rich, but also because they never had any adventures or did anything unexpected: you could tell what a Baggins would say on any question without the bother of asking him."
86,26,0.104001157,16,1.326306319,mouse,0,normal,"The Bagginses had lived in the neighbourhood of The Hill for time out of mind, and people considered them very respectable, not only because most of them were rich, but also because they never had any adventures or did anything unexpected: you could tell what a Baggins would say on any question without the bother of asking him."
,22,1.205504931,-8,0.638234214,dog,0,normal,"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat; it was a hobbit-hole, and that means comfort."
9,21,0.512353252,-83,0.614515678,cat,1,very good,"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat; it was a hobbit-hole, and that means comfort."
68,17,12.97814099,44,0.439246728,elephant,0,good,"The door opened on to a tube-shaped hall like a tunnel: a very comfortable tunnel without smoke, with paneled walls, and floors tiled and carpeted, provided with polished chairs, and lots and lots of pegs for hats and coats – the hobbit was fond of visitors."
41,38,8.460733187,84,0.351663699,dog,0,normal,"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat; it was a hobbit-hole, and that means comfort."
16,12,1.352023437,-65,2.713065421,mouse,0,very bad,"This hobbit was a very well-to-do hobbit, and his name was Baggins."
87,86,1.115983858,92,0.575106877,elephant,0,bad,"The Bagginses had lived in the neighbourhood of The Hill for time out of mind, and people considered them very respectable, not only because most of them were rich, but also because they never had any adventures or did anything unexpected: you could tell what a Baggins would say on any question without the bother of asking him."
,80,4.455684522,6,0.133672838,dog,1,very bad,"The tunnel wound on and on, going fairly but not quite straight into the side of the hill – The Hill, as all the people for many miles round called it – and many little round doors opened out of it, first on one side and then on another."
19,18,1.873371032,25,2.154966575,mouse,0,good,"He may have lost the neighbours’ respect, but he gained – well, you will see whether he gained anything in the end."
84,77,1.385239577,-65,0.656730773,elephant,1,bad,"
In a hole in the ground there lived a hobbit."
39,3,2.208059262,180,0.531243774,mouse,1,very good,"
In a hole in the ground there lived a hobbit."
68,1,1.404366845,36,0.15422553,cat,1,very bad,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
76,95,0.856423101,-17,9.334643642,dog,0,very bad,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
34,75,0.605327249,-45,0.36006045,elephant,0,very good,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
66,18,3.026628858,-4,2.66367665,cat,0,very bad,"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat; it was a hobbit-hole, and that means comfort."
23,25,4.152560007,43,1.069520587,elephant,1,very good,"The door opened on to a tube-shaped hall like a tunnel: a very comfortable tunnel without smoke, with paneled walls, and floors tiled and carpeted, provided with polished chairs, and lots and lots of pegs for hats and coats – the hobbit was fond of visitors."
40,27,0.612151919,-55,0.911479532,elephant,1,bad,"No going upstairs for the hobbit: bedrooms, bathrooms, cellars, pantries (lots of these), wardrobes (he had whole rooms devoted to clothes), kitchens, dining-rooms, all were on the same floor, and indeed on the same passage."
47,45,0.848864194,62,0.312376637,mouse,0,bad,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
,74,0.485615525,43,0.921149325,elephant,0,very good,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
96,27,0.475495671,1,2.656833751,mouse,0,bad,"The best rooms were all on the left-hand side (going in), for these were the only ones to have windows, deep-set round windows looking over his garden, and meadows beyond, sloping down to the river."
89,26,2.634029707,-70,312.065436,elephant,0,very bad,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
56,73,2.651637475,62,1.331174172,dog,0,very good,"The Bagginses had lived in the neighbourhood of The Hill for time out of mind, and people considered them very respectable, not only because most of them were rich, but also because they never had any adventures or did anything unexpected: you could tell what a Baggins would say on any question without the bother of asking him."
35,66,0.423372493,-52,1.20296383,cat,1,good,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
32,54,1.593772239,-14,0.72201777,elephant,0,bad,"The Bagginses had lived in the neighbourhood of The Hill for time out of mind, and people considered them very respectable, not only because most of them were rich, but also because they never had any adventures or did anything unexpected: you could tell what a Baggins would say on any question without the bother of asking him."
30,20,0.929449015,40,0.959663699,elephant,0,very good,"The door opened on to a tube-shaped hall like a tunnel: a very comfortable tunnel without smoke, with paneled walls, and floors tiled and carpeted, provided with polished chairs, and lots and lots of pegs for hats and coats – the hobbit was fond of visitors."
32,85,0.512570966,-80,0.262376686,mouse,0,good,"The best rooms were all on the left-hand side (going in), for these were the only ones to have windows, deep-set round windows looking over his garden, and meadows beyond, sloping down to the river."
52,80,0.041239539,-37,5.453829086,elephant,1,bad,"This hobbit was a very well-to-do hobbit, and his name was Baggins."
48,73,0.264649856,1,0.657790224,cat,1,bad,"The door opened on to a tube-shaped hall like a tunnel: a very comfortable tunnel without smoke, with paneled walls, and floors tiled and carpeted, provided with polished chairs, and lots and lots of pegs for hats and coats – the hobbit was fond of visitors."
33,73,2.487669187,-47,1.103822557,cat,0,very bad,"The door opened on to a tube-shaped hall like a tunnel: a very comfortable tunnel without smoke, with paneled walls, and floors tiled and carpeted, provided with polished chairs, and lots and lots of pegs for hats and coats – the hobbit was fond of visitors."
19,9,1.643020139,-10,0.646530043,dog,0,bad,"The Bagginses had lived in the neighbourhood of The Hill for time out of mind, and people considered them very respectable, not only because most of them were rich, but also because they never had any adventures or did anything unexpected: you could tell what a Baggins would say on any question without the bother of asking him."
92,24,0.853590369,100,0.105575966,cat,0,very good,"
In a hole in the ground there lived a hobbit."
19,46,0.345886619,-20,0.468872489,elephant,1,very good,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
78,72,2.497253714,79,2.009183305,dog,1,good,"
In a hole in the ground there lived a hobbit."
56,88,1.845758459,76,0.453365783,mouse,0,very good,"No going upstairs for the hobbit: bedrooms, bathrooms, cellars, pantries (lots of these), wardrobes (he had whole rooms devoted to clothes), kitchens, dining-rooms, all were on the same floor, and indeed on the same passage."
50,66,0.273900747,-61,0.544892573,dog,0,good,"This hobbit was a very well-to-do hobbit, and his name was Baggins."
91,24,0.523701811,-46,0.694606717,mouse,1,normal,"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat; it was a hobbit-hole, and that means comfort."
56,40,0.938703543,84,0.299412204,mouse,0,normal,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
78,31,1.924854585,85,2.087185116,dog,1,bad,"No going upstairs for the hobbit: bedrooms, bathrooms, cellars, pantries (lots of these), wardrobes (he had whole rooms devoted to clothes), kitchens, dining-rooms, all were on the same floor, and indeed on the same passage."
72,63,0.428110055,-6,0.336410308,dog,1,good,"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat; it was a hobbit-hole, and that means comfort."
47,21,2.213221112,-62,0.94067277,elephant,0,very good,"He may have lost the neighbours’ respect, but he gained – well, you will see whether he gained anything in the end."
91,43,0.495651222,-78,0.143222069,dog,0,normal,"This hobbit was a very well-to-do hobbit, and his name was Baggins."
51,33,9.179182327,14,1.533525939,mouse,0,bad,"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat; it was a hobbit-hole, and that means comfort."
81,76,4.513850845,89,0.69252875,elephant,1,good,"The door opened on to a tube-shaped hall like a tunnel: a very comfortable tunnel without smoke, with paneled walls, and floors tiled and carpeted, provided with polished chairs, and lots and lots of pegs for hats and coats – the hobbit was fond of visitors."
42,19,1.343394312,49,6.85525641,dog,0,good,"
In a hole in the ground there lived a hobbit."
59,66,1.427227587,17,1.611625771,elephant,0,good,"The tunnel wound on and on, going fairly but not quite straight into the side of the hill – The Hill, as all the people for many miles round called it – and many little round doors opened out of it, first on one side and then on another."
34,76,2.399110121,53,4.46087576,mouse,1,very bad,"
In a hole in the ground there lived a hobbit."
44,19,0.779905029,-56,1.864368514,mouse,0,very bad,"He may have lost the neighbours’ respect, but he gained – well, you will see whether he gained anything in the end."
30,30,0.371267659,87,0.494325206,cat,0,very good,"The best rooms were all on the left-hand side (going in), for these were the only ones to have windows, deep-set round windows looking over his garden, and meadows beyond, sloping down to the river."
54,83,2.11257654,89,0.44389771,cat,0,very bad,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
39,75,1.919084324,95,0.419959091,cat,1,very bad,"The Bagginses had lived in the neighbourhood of The Hill for time out of mind, and people considered them very respectable, not only because most of them were rich, but also because they never had any adventures or did anything unexpected: you could tell what a Baggins would say on any question without the bother of asking him."
,18,0.403354446,72,1.029170198,mouse,1,normal,"The best rooms were all on the left-hand side (going in), for these were the only ones to have windows, deep-set round windows looking over his garden, and meadows beyond, sloping down to the river."
12,78,2.90109989,-96,1.094624575,cat,0,normal,"He may have lost the neighbours’ respect, but he gained – well, you will see whether he gained anything in the end."
86,77,2.305535194,3,0.960240474,cat,0,bad,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
67,34,0.976753089,55,1.355377475,cat,1,good,"The Bagginses had lived in the neighbourhood of The Hill for time out of mind, and people considered them very respectable, not only because most of them were rich, but also because they never had any adventures or did anything unexpected: you could tell what a Baggins would say on any question without the bother of asking him."
75,85,1.274292872,-16,0.242287715,mouse,1,bad,"The best rooms were all on the left-hand side (going in), for these were the only ones to have windows, deep-set round windows looking over his garden, and meadows beyond, sloping down to the river."
96,21,4.22368544,-84,1.324202886,mouse,1,good,"The best rooms were all on the left-hand side (going in), for these were the only ones to have windows, deep-set round windows looking over his garden, and meadows beyond, sloping down to the river."
78,62,3.555208741,33,2.187041725,mouse,0,very bad,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
68,96,3.248692755,16,7.097951784,elephant,0,very good,"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat; it was a hobbit-hole, and that means comfort."
28,45,0.810085135,72,2.018269193,dog,1,normal,"
In a hole in the ground there lived a hobbit."
52,17,0.503251725,79,0.640948959,cat,0,bad,"
In a hole in the ground there lived a hobbit."
40,97,0.845053452,-9,0.326797271,dog,0,bad,"The best rooms were all on the left-hand side (going in), for these were the only ones to have windows, deep-set round windows looking over his garden, and meadows beyond, sloping down to the river."
16,44,1.368528737,-17,0.157978178,cat,1,very bad,"
In a hole in the ground there lived a hobbit."
25,87,4.674836665,92,0.469944159,dog,1,good,"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat; it was a hobbit-hole, and that means comfort."
,12,0.668017849,-19,1.562303698,elephant,0,good,"The best rooms were all on the left-hand side (going in), for these were the only ones to have windows, deep-set round windows looking over his garden, and meadows beyond, sloping down to the river."
7,65,8.352833891,-68,0.397047416,elephant,1,good,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
96,63,3.850779027,-38,0.217512312,cat,1,very good,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
10,80,0.716405263,-73,3.560613341,dog,1,good,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
0,52,1.623004382,22,0.421999344,mouse,0,very bad,"No going upstairs for the hobbit: bedrooms, bathrooms, cellars, pantries (lots of these), wardrobes (he had whole rooms devoted to clothes), kitchens, dining-rooms, all were on the same floor, and indeed on the same passage."
78,67,2.858084074,-21,1.502995723,dog,1,very bad,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
39,80,5.158503239,19,0.441776013,dog,1,very bad,"No going upstairs for the hobbit: bedrooms, bathrooms, cellars, pantries (lots of these), wardrobes (he had whole rooms devoted to clothes), kitchens, dining-rooms, all were on the same floor, and indeed on the same passage."
90,4,1.736880468,2,1.147157542,dog,0,bad,"
In a hole in the ground there lived a hobbit."
79,41,0.926923614,17,0.287823241,mouse,0,bad,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
24,37,2.939580187,-19,0.946906634,dog,1,good,"The tunnel wound on and on, going fairly but not quite straight into the side of the hill – The Hill, as all the people for many miles round called it – and many little round doors opened out of it, first on one side and then on another."
91,96,1.257073229,-71,2.492171887,dog,1,bad,"No going upstairs for the hobbit: bedrooms, bathrooms, cellars, pantries (lots of these), wardrobes (he had whole rooms devoted to clothes), kitchens, dining-rooms, all were on the same floor, and indeed on the same passage."
,22,0.269681064,-43,1.09612307,elephant,1,bad,"The door opened on to a tube-shaped hall like a tunnel: a very comfortable tunnel without smoke, with paneled walls, and floors tiled and carpeted, provided with polished chairs, and lots and lots of pegs for hats and coats – the hobbit was fond of visitors."
1,68,1.006769082,13,2.382316856,cat,0,bad,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
81,98,2.662200582,-85,2.230016049,elephant,0,normal,"
In a hole in the ground there lived a hobbit."
82,37,0.414100159,-67,0.395583532,elephant,0,very good,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
90,27,1.065775989,-7,2.518178885,mouse,1,good,"The Bagginses had lived in the neighbourhood of The Hill for time out of mind, and people considered them very respectable, not only because most of them were rich, but also because they never had any adventures or did anything unexpected: you could tell what a Baggins would say on any question without the bother of asking him."
2,14,1.605349338,-45,0.778839576,cat,1,very bad,"
In a hole in the ground there lived a hobbit."
83,36,2.12828484,37,2.855826231,cat,0,normal,"No going upstairs for the hobbit: bedrooms, bathrooms, cellars, pantries (lots of these), wardrobes (he had whole rooms devoted to clothes), kitchens, dining-rooms, all were on the same floor, and indeed on the same passage."
37,55,1.333505537,-56,36.15688422,cat,1,good,"This hobbit was a very well-to-do hobbit, and his name was Baggins."
20,51,0.181038886,-38,1.427979818,dog,1,good,"The door opened on to a tube-shaped hall like a tunnel: a very comfortable tunnel without smoke, with paneled walls, and floors tiled and carpeted, provided with polished chairs, and lots and lots of pegs for hats and coats – the hobbit was fond of visitors."
13,72,1.157603154,-57,1.313910189,cat,1,good,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
65,6,1.098095477,99,1.240447797,cat,1,very good,"The Bagginses had lived in the neighbourhood of The Hill for time out of mind, and people considered them very respectable, not only because most of them were rich, but also because they never had any adventures or did anything unexpected: you could tell what a Baggins would say on any question without the bother of asking him."
,67,0.279741021,87,0.924389186,elephant,1,good,"The Bagginses had lived in the neighbourhood of The Hill for time out of mind, and people considered them very respectable, not only because most of them were rich, but also because they never had any adventures or did anything unexpected: you could tell what a Baggins would say on any question without the bother of asking him."
1,70,1.45181531,31,0.388275179,elephant,1,very bad,"The door opened on to a tube-shaped hall like a tunnel: a very comfortable tunnel without smoke, with paneled walls, and floors tiled and carpeted, provided with polished chairs, and lots and lots of pegs for hats and coats – the hobbit was fond of visitors."
50,34,2.546451349,24,2.618251699,elephant,0,very bad,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
26,83,1.712526685,70,0.228911534,cat,1,very good,"No going upstairs for the hobbit: bedrooms, bathrooms, cellars, pantries (lots of these), wardrobes (he had whole rooms devoted to clothes), kitchens, dining-rooms, all were on the same floor, and indeed on the same passage."
